cim,szerzo,ev,kategoria,aktiv
A kőszívű ember fiai,Jókai Mór,1869,Regény,0
Egri csillagok,Gárdonyi Géza,1899,Történelmi,0
Pál utcai fiúk,Molnár Ferenc,1907,Ifjúsági,0
Az arany ember,Jókai Mór,1872,Regény,0
A kis herceg,Antoine de Saint-Exupéry,1943,Mese,1
Száz év magány,Gabriel García Márquez,1967,Regény,1
1984,George Orwell,1949,Disztópia,0
Büszkeség és balítélet,Jane Austen,1813,Romantikus,1
A Gyűrűk Ura,J.R.R. Tolkien,1954,Fantasy,1
Harry Potter és a bölcsek köve,J.K. Rowling,1997,Fantasy,1
Az idő rövid története,Stephen Hawking,1988,Tudomány,1
Dűne,Frank Herbert,1965,Science Fiction,1
A láthatatlan ember,H.G. Wells,1897,Disztópia,0
Állatfarm,George Orwell,1945,Disztópia,1
Tüskevár,Fekete István,1957,Ifjúsági,1
Légy jó mindhalálig,Móricz Zsigmond,1920,Regény,0
Sherlock Holmes kalandjai,Arthur Conan Doyle,1892,Krimi,1
Az öreg halász és a tenger,Ernest Hemingway,1952,Regény,0
A varázshegy,Thomas Mann,1924,Regény,0
Mester és Margarita,Mihail Bulgakov,1967,Szatíra,1
Don Quijote,Miguel de Cervantes,1605,Kaland,0
Végtelen tréfa,David Foster Wallace,1996,Posztmodern,0
Fahrenheit 451,Ray Bradbury,1953,Disztópia,1
Éhezők viadala,Suzanne Collins,2008,Fantasy,1
Ne bántsátok a feketerigót,Harper Lee,1960,Regény,1
A Hobbit,J.R.R. Tolkien,1937,Fantasy,1
Anna Karenina,Lev Tolsztoj,1877,Romantikus,0
Téli berek,Fekete István,1959,Ifjúsági,1
A rózsa neve,Umberto Eco,1980,Történelmi,0
Jane Eyre,Charlotte Brontë,1847,Romantikus,1
Tüskés mezők,Agatha Christie,1934,Krimi,1
Bűn és bűnhődés,Fjodor Dosztojevszkij,1866,Regény,0
A sötétség mélyén,Joseph Conrad,1899,Kaland,0
A nagy Gatsby,F. Scott Fitzgerald,1925,Regény,1
Vadkan,Wass Albert,1942,Történelmi,1
Az ember tragédiája,Madách Imre,1862,Dráma,0
Mesék Mátyás királyról,Benedek Elek,1900,Mese,1
Csillagok háborúja,George Lucas,1977,Science Fiction,1
Alice Csodaországban,Lewis Carroll,1865,Mese,1
A tűz és jég dala,George R.R. Martin,1996,Fantasy,1
A katedrális,Ken Follett,1989,Történelmi,1
Kincses sziget,Robert Louis Stevenson,1883,Kaland,1
Tűzpróba,Stephen King,1980,Horror,0
Az utolsó egyszarvú,Peter S. Beagle,1968,Fantasy,1
Moby Dick,Herman Melville,1851,Kaland,0
Időgép,H.G. Wells,1895,Science Fiction,1
Galaxis útikalauz stopposoknak,Douglas Adams,1979,Humor,1
Hamlet,William Shakespeare,1601,Dráma,0
Trónok harca,George R.R. Martin,1996,Fantasy,1
A boszorkányok,Szabó Magda,1959,Regény,1
Az élet játéka,Herman Hesse,1943,Filozófia,0
Vér és arany,Anne Rice,2001,Horror,1
